Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Features,Features (english),Product link
Refroidisseur d'air portatif,Portable Air Cooler,BESTRON,carrefour,8712184013654,Brasseur D'air 30cm 55w BESTRON,Brasseur D'air 30cm 55w BESTRON,https://www.carrefour.frhttps://media.carrefour.fr/medias/81bc0bfee2523f8f8a8c37118a25d67a/p_540x540/27d14568d8d7449ca06157b609b60dbb-image.jpg,40.55,45.9,EUR,"
Description
dfa30 - bestron -  - Puissance : 55 WDiamètre : 30 cm Déplace 100% plus d’air que les ventilateurs standardsVentilateur réglable verticalementInterrupteur de vitesses: 0-1-2-3Pieds antidérapantsCouleur : Noir
","Description
dfa30 - bestron - - Power: 55 W Diameter: 30 cm Moves 100% more air than standard fans Vertically adjustable fan Speed ​​switch: 0-1-2-3 Non-slip feet Color: Black",https://www.carrefour.fr/p/brasseur-d-air-30cm-55w-8712184013654?s=2155
Refroidisseur d'air portatif,Portable Air Cooler,ALPINA,carrefour,8711252170961,Rafraichisseur D'air Alpina 4l 62w Silencieux 3en1 Ventilateur Refroidisseur Humidifi ALPINA,Alpina Air Cooler 4l 62w Silent 3in1 Fan Cooler Humidifi ALPINA,https://www.carrefour.frhttps://media.carrefour.fr/medias/b72295d7e43b3ac48ecfaae00aec2318/p_540x540/c808ef485fe248fcbdd78ccdc68d0715-image.jpg,69.3,99,EUR,"
Description
Réduisez la température ambiante avec ce rafraîchisseur d'air ALPINA 3 vitesses. La fonction oscillation permet une meilleure circulation de l'air dans la pièce et assure un meilleur refroidissement.Ce refroidisseur d'air ALPINA fonctionne avec un réservoir d'eau d'une capacité de 4 litres. Vous pouvez également congeler les éléments de refroidissement pour rafraichir plus rapidement l'air.Le refroidisseur d'air est idéal pour les temps de forte chaleur, notamment par temps de canicule.Pratique, il se déplace sur des roulettes et peut être utilisé partout où vous le souhaiterez. Ce climatiseur/humidificateur d'air est parfait pour refroidir et humidifier les pièces de vie de votre intérieur, les chambres, mais aussi les bureaux lorsque vous travaillez. Silencieux, vous ne l'entendrez même pas.Caractéristiques :- Puissance 62W.- Débit max du ventilateur : 5.3 m3/min.- Silencieux : 65 db(A).- Capacité du réservoir d'eau : 4L.- 3 vitesses de fonctionnement.- Fonction humidificateur refroidisseur.- Fonction oscillation : Le filtre à air oscille de gauche à droite.- Alimentation : 230V.- Dimensions : 57 x 24 x 26 cm. - Poids 4 kg.
","Description
Reduce the room temperature with this ALPINA 3-speed air cooler. The oscillation function allows better air circulation in the room and ensures better cooling.This ALPINA air cooler works with a water tank with a capacity of 4 liters. You can also freeze the cooling elements to cool the air faster. The air cooler is ideal for hot days, especially in hot weather. Convenient, it moves on wheels and can be used anywhere you will like it. This air conditioner / humidifier is perfect for cooling and humidifying the living rooms of your home, bedrooms, but also offices when you work. Silent, you won't even hear it.Features: - Power 62W.- Max fan flow: 5.3 m3 / min.- Silent: 65 db (A) .- Water tank capacity: 4L.- 3 speeds of operation.- Cooler humidifier function.- Oscillation function: The air filter oscillates from left to right.- Power supply: 230V.- Dimensions: 57 x 24 x 26 cm. - Weight 4 kg.",https://www.carrefour.fr/p/rafraichisseur-d-air-alpina-4l-62w-silencieux-3en1-ventilateur-refroidisseur-humidifi-8711252170961?s=2281
Refroidisseur d'air portatif,Portable Air Cooler,ALPINA,carrefour,8711252170992,Rafraichisseur D'air Alpina 4l 62w Silencieux 3en1 Télécommande  Ventilateur Refroidi ALPINA,Alpina Air Freshener 4l 62w Silent 3in1 Remote Control Cooled Fan ALPINA,https://www.carrefour.frhttps://media.carrefour.fr/medias/edc6639217563f70ab22dd8ade5e5a7a/p_540x540/ce11c85972d84e08b7bf61c2dc4af104-image.jpg,99.4,142,EUR,"
Description
Réduisez la température ambiante avec ce rafraîchisseur d'air ALPINA 3 vitesses. La fonction oscillation permet une meilleure circulation de l'air dans la pièce et assure un meilleur refroidissement.Ce refroidisseur d'air ALPINA fonctionne avec un réservoir d'eau d'une capacité de 4 litres. Vous pouvez également congeler les éléments de refroidissement pour rafraichir plus rapidement l'air.Le refroidisseur d'air est idéal pour les temps de forte chaleur, notamment par temps de canicule. Grâce à sa télécommande de contrôle, vous pourrez adapter le fonctionnement de l'appareil à distance. (au sein de la même pièce). Pratique, il se déplace sur des roulettes et peut être utilisé partout où vous le souhaiterez. Ce climatiseur/humidificateur d'air est parfait pour refroidir et humidifier les pièces de vie de votre intérieur, les chambres, mais aussi les bureaux lorsque vous travaillez. Silencieux, vous ne l'entendrez même pas.Caractéristiques :- Puissance 62W.- Débit max du ventilateur : 2.6 m3/min.- Silencieux : 61.1 db(A).- Capacité du réservoir d'eau : 4L.- 3 vitesses de fonctionnement.- Fonction humidificateur refroidisseur.- Fonction oscillation : Le filtre à air oscille de gauche à droite.- Fonction Timer : Minuterie de 30 minutes à 7 heures.- Télécommande de contrôle. - Alimentation : 230V.- Dimensions : 57 x 24 x 26 cm. - Poids 4 kg.
","Description
Reduce the room temperature with this ALPINA 3-speed air cooler. The oscillation function allows better air circulation in the room and ensures better cooling.This ALPINA air cooler works with a water tank with a capacity of 4 liters. You can also freeze the cooling elements to cool the air faster. The air cooler is ideal for hot weather, especially in hot weather. Thanks to its remote control, you can adapt the operation of the device from a distance. (within the same room). Convenient, it moves on casters and can be used anywhere you want. This air conditioner / humidifier is perfect for cooling and humidifying the living rooms of your home, bedrooms, but also offices when you work. Silent, you won't even hear it.Features: - Power 62W.- Max fan flow: 2.6 m3 / min.- Silent: 61.1 db (A) .- Water tank capacity: 4L.- 3 speeds of - Cooler humidifier function - Oscillation function: The air filter oscillates from left to right - Timer function: Timer from 30 minutes to 7 hours - Remote control. - Power supply: 230V - Dimensions: 57 x 24 x 26 cm. - Weight 4 kg.",https://www.carrefour.fr/p/rafraichisseur-d-air-alpina-4l-62w-silencieux-3en1-telecommande-ventilateur-refroidi-8711252170992?s=2281
Refroidisseur d'air portatif,Portable Air Cooler,ELECTROLUX,carrefour,7332543693863,Aspirateur  avec sac Pure D8 - PD82-4MG - Gris ELECTROLUX,Vacuum cleaner with bag Pure D8 - PD82-4MG - Gray ELECTROLUX,https://www.carrefour.fr/media/1500x1500/Photosite/EPCS/PEM/7332543693863_PHOTOSITE_20210317_184715_0.jpg?placeholder=1,199,199,EUR,,,https://www.carrefour.fr/p/aspirateur-avec-sac-pure-d8-pd82-4mg-gris-electrolux-7332543693863
Machine à coudre,Sewing Machine,AEG,carrefour,4260487930030,Machine à coudre mécanique 30 Z - Blanc,30 Z Mechanical Sewing Machine - White,https://www.carrefour.frhttps://media.carrefour.fr/medias/4d3bc4dfa8df302eb10372f8616bc51d/p_540x540/4260487930030-photosite-2020717-111454-1.jpg,139,139,EUR,,,https://www.carrefour.fr/p/machine-a-coudre-mecanique-30-z-blanc-4260487930030
Ventilateur portatif,Portable Fan,BEKO,carrefour,8690842108235,Ventilateur Beko Efw5000ws BEKO,Fan Beko Efw5000ws BEKO,https://www.carrefour.frhttps://media.carrefour.fr/medias/a9ff4426c90b3650b6ad32403c8d3c08/p_540x540/6606e82d4c2343b0a0dc3b83099c4a87-image.jpg,96.9,124.9,EUR,"
Description
Caracteristiques principales : 
Type de ventilateur : Colonne.
Débit d'air : 1100 m³/h.
Puissance : 45 W.
Ecran : Ecran LED.
Nombre de vitesses : 3.
Accessoires fournis : Télecommande.
Poids : 3,2 kg.
Origine de fabrication : Chine.
Disponibilité des pièces détachées : 4 ans.

Points forts : 
Ventilateur colonne.
3 niveaux de vitesses.
Puissance 45 watts.
Télécommande incluse.
","Description
Main Features :
Fan type: Column.
Air flow: 1100 m³ / h.
Power: 45 W.
Screen: LED screen.
Number of speeds: 3.
Supplied accessories: Remote control.
Weight: 3.2 kg.
Origin of manufacture: China.
Availability of spare parts: 4 years.

Strong points :
Column fan.
3 speed levels.
Power 45 watts.
Remote control included.",https://www.carrefour.fr/p/ventilateur-beko-efw5000ws-8690842108235?s=2399
Ventilateur portatif,Portable Fan,BESTRON,carrefour,8712184023882,Ventilateur De Plafond 120cm BESTRON,BESTRON Ceiling Fan 120cm,https://www.carrefour.frhttps://media.carrefour.fr/medias/ef62a987f3173c65a70cf5b8c6169928/p_540x540/a13fcf767b60471f815e449fd787eddc-image.jpg,68.63,79.9,EUR,"
Description
dt48c - bestron -  - Puissance : 60 WEnvergure totale de 120 cm idéal pour une optimal circulation d’air Design chrome brossé Commande de 3 vitesse par chaîne La hauteur d’installation, c’est–à-dire la distance des pales au sol, doit être min. de 2,30m Installation facilePoids : 5 KgCouleur : Inox
","Description
dt48c - bestron - - Power: 60 W Total wingspan of 120 cm ideal for optimal air circulation Brushed chrome design 3-speed chain control The installation height, ie the distance between the blades and the ground, must be min. 2.30m Easy installation Weight: 5 Kg Color: Stainless steel",https://www.carrefour.fr/p/ventilateur-de-plafond-120cm-8712184023882?s=2155
Ventilateur portatif,Portable Fan,THOMSON,carrefour,3527570060335,Ventilateur de table - THVEL 640ST - Noir,Table fan - THVEL 640ST - Black,https://www.carrefour.frhttps://media.carrefour.fr/medias/64e531c8a3353af2aad2b7eb5dd7495d/p_540x540/3527570060335-photosite-202117-15473-1.jpg,49.99,49.99,EUR,,,https://www.carrefour.fr/p/ventilateur-de-table-thvel-640st-noir-3527570060335
Ventilateur portatif,Portable Fan,DYSON,carrefour,5025155017838,Ventilateur - AM07 - Blanc/Silver    ,Fan - AM07 - White / Silver,https://www.carrefour.frhttps://media.carrefour.fr/medias/6de28ada8b713b5a99513b12f58cae59/p_540x540/5025155017838-photosite-202064-121357-1.jpg,399.99,399.99,EUR,,,https://www.carrefour.fr/p/ventilateur-am07-blanc-silver-5025155017838
Bigoudi électrique,Electric Hair Curler,PHILIPS,carrefour,8710103831662,Rasoir électrique One Blade 3 sabots visage/corps PHILIPS,PHILIPS One Blade 3 combs face / body electric shaver,https://www.carrefour.fr/media/1500x1500/Photosite/PGC/PARFUMERIE_HYGIENE/8710103831662_PHOTOSITE_20211117_183929_0.jpg?placeholder=1,39.9,39.9,EUR,"
Description
OneBlade Visage & Corps pour tailler, styliser et raser votre corps et votre barbe, même longue
","Description
OneBlade Face & Body to trim, style and shave your body and even long beard",https://www.carrefour.fr/p/rasoir-electrique-one-blade-3-sabots-visage-corps-philips-8710103831662
Bigoudi électrique,Electric Hair Curler,PHILIPS,carrefour,8710103751083,Rasoir électrique One Blade 3 sabots barbe PHILIPS,PHILIPS One Blade 3 combs beard electric shaver,https://www.carrefour.fr/media/1500x1500/Photosite/PGC/PARFUMERIE_HYGIENE/8710103751083_PHOTOSITE_20171121_161705_0.jpg?placeholder=1,30.6,30.6,EUR,"
Description
Philips OneBlade est un outil hybride révolutionnaire qui permet de tailler, définir les contours et raser votre barbe, même longue. Plus besoin de procéder en plusieurs étapes et d'utiliser différents outils. OneBlade, un seul outil pour tous vos besoins. Technologie unique OneBladeLa technologie de stylisation pour le visage et le corps de Philips OneBlade est révolutionnaire. Elle permet de tailler, de définir les contours et de raser les poils, quelle que soit leur longueur. Son double système de protection (revêtement lisse et bords arrondis) facilite le rasage et le rend plus confortable. Sa technologie de rasage bénéficie d'une solution à mouvements rapides (200 par seconde), pour un rasage efficace, même sur les poils longs. TaillezTaillez votre barbe avec une précision unique grâce à l'un des 3 sabots inclus : 1 mm pour un effet « barbe naissante », 3 mm pour une barbe courte et 5 mm pour une barbe plus longue. Définissez les contoursVos contours sont parfaitement nets grâce à la lame double sens. Quelle que soit sa direction, vous bénéficiez d'une visibilité optimale et n'oubliez aucun poil. Un style impeccable rapidement. RasezOneBlade ne rase pas d'aussi près qu'une lame traditionnelle, et préserve donc votre peau. Rasez facilement à contre-sens, quelle que soit la longueur des poils. Suivi des contoursOneBlade suit les contours de votre visage pour tailler et raser efficacement et confortablement même les zones difficiles d'accès. Créez des bords nets et des lignes parfaites avec la lame double sensOneBlade suit les contours de votre visage pour tailler et raser facilement et confortablement, même les zones difficiles d'accès. Déplacez la lame double sens dans n'importe quelle direction pour définir vos contours et créer des lignes parfaites. 3 sabots clipsables barbe de 3 jours (1, 3 et 5 mm) pour une barbe uniformeFixez l'un des sabots clipsables pour obtenir une barbe de 3 jours de la longueur de votre choix. Lame OneBlade durableLes lames sont conçues pour des performances durables. Pour des performances optimales, il vous suffit de remplacer chaque lame tous les 4 mois*. Le remplacement se fait très facilement. ÉtancheOneBlade est étanche, ce qui facilite le nettoyage : rincez-le simplement sous l'eau du robinet. Vous pouvez vous raser avec ou sans mousse, selon votre préférence. Batterie longue duréeLa batterie rechargeable offre 45 minutes d'autonomie pour 8 h de charge. 
","Description
Philips OneBlade is a revolutionary hybrid tool that allows you to trim, define the contours and shave your beard, even a long one. No need to proceed in several steps and use different tools. OneBlade, one tool for all your needs. Unique OneBlade Technology Philips OneBlade's face and body styling technology is revolutionary. It allows you to trim, define the contours and shave the hairs, whatever their length. Its double protection system (smooth coating and rounded edges) facilitates shaving and makes it more comfortable. Its shaving technology benefits from a rapid movement solution (200 per second), for an efficient shave, even on long hairs. Trim your beard with unique precision thanks to one of the 3 combs included: 1 mm for a ""growing beard"" effect, 3 mm for a short beard and 5 mm for a longer beard. Define the contours Your contours are perfectly sharp thanks to the two-way blade. Whatever its direction, you benefit from optimal visibility and do not forget any hair. Impeccable style quickly. RasezOneBlade does not shave as close as a traditional blade, and therefore protects your skin. Easily shave against the grain, regardless of hair length. Contour trackingOneBlade follows the contours of your face to effectively and comfortably trim and shave even hard-to-reach areas. Create crisp edges and perfect lines with the two-way blade OneBlade follows the contours of your face to easily and comfortably trim and shave, even hard-to-reach areas. Move the two-way blade in any direction to define your contours and create perfect lines. 3 clip-on 3-day beard combs (1, 3 and 5 mm) for an even beard Attach one of the clip-on combs to obtain a 3-day beard of the length of your choice. Durable OneBlade Blade Blades are engineered for long lasting performance. For optimum performance, simply replace each blade every 4 months *. The replacement is very easy. WaterproofOneBlade is waterproof, which makes cleaning easy: simply rinse it under running water. You can shave with or without foam, depending on your preference. Long-lasting battery The rechargeable battery offers 45 minutes of battery life after an 8-hour charge.",https://www.carrefour.fr/p/rasoir-electrique-one-blade-3-sabots-barbe-philips-8710103751083
Bigoudi électrique,Electric Hair Curler,PHILIPS,carrefour,8710103863199,Brosse à dents électrique 4300 series HX6803/64 ,4300 series electric toothbrush HX6803 / 64,https://www.carrefour.fr/media/1500x1500/Photosite/EPCS/PEM/8710103863199_PHOTOSITE_20200807_154717_0.jpg?placeholder=1,69.99,69.99,EUR,,,https://www.carrefour.fr/p/brosse-a-dents-electrique-4300-series-hx6803-64-8710103863199
Bigoudi électrique,Electric Hair Curler,PHILIPS,carrefour,8710103943587,Brosse à dents électrique HX6201/57 PHILIPS,Electric toothbrush HX6201 / 57 PHILIPS,https://www.carrefour.fr/media/1500x1500/Photosite/EPCS/PEM/8710103943587_PHOTOSITE_20200629_121223_0.jpg?placeholder=1,39.9,39.9,EUR,,,https://www.carrefour.fr/p/brosse-a-dents-electrique-hx6201-57-philips-8710103943587
Bigoudi électrique,Electric Hair Curler,PHILIPS,carrefour,8710103993827,Rasoir électrique - S5466/17 - Bleu foncé PHILIPS,Electric shaver - S5466 / 17 - Dark blue PHILIPS,https://www.carrefour.fr/media/1500x1500/Photosite/EPCS/PEM/8710103993827_PHOTOSITE_20211116_111017_0.jpg?placeholder=1,59.9,119.9,EUR,,,https://www.carrefour.fr/p/rasoir-electrique-s5466-17-bleu-fonce-philips-8710103993827
Brosse à dents électrique,Electric toothbrush,PHILIPS,carrefour,8710103941132,Brosse A Dents Electrique Philips Sonicare Hx8494/01 Diamondclean 9000 PHILIPS,Philips Sonicare Hx8494 / 01 Electric Toothbrush Diamondclean 9000 PHILIPS,https://www.carrefour.frhttps://media.carrefour.fr/medias/860cfb439e163938a298c71c967ac274/p_540x540/d23079f239a34c26b849746843942416-image.jpg,243.36,294.9,EUR,"
Description
Philips Sonicare - Bundle - 1 DiamondClean 9000 - Blanc - 5 modes - Autonomie 2 semaines - 1 tete de brosse Premium Plaque Defence - 1 verre de charge - 1 coffret de voyage + Microjet dentaire AirFloss Ultra White - Technologie Microburst - 3 niveaux d'intensités...
","Description
Philips Sonicare - Bundle - 1 DiamondClean 9000 - White - 5 modes - 2 weeks autonomy - 1 Premium Plaque Defense brush head - 1 charging glass - 1 travel case + Dental AirFloss Ultra White microjet - Microburst technology - 3 intensity levels ...",https://www.carrefour.fr/p/brosse-a-dents-electrique-philips-sonicare-hx8494-01-diamondclean-9000-8710103941132?s=2399
